,아파트명,매매가(억),전세가(억),전세가율,시공일자,가압류,압류,신탁,소유권이전,임차권등기명령,근저당,근저당정규화,지역,시공일자_datetime,시공일자_년도,label
0,삼성쉐르빌,2.69,2.6,0.966542751,2020-06-26 00:00:00,0,0,0,0,0,1.95,1.691449814,서울 강서구 화곡동 379-42,2020-06-26 00:00:00,2020,1
1,혜성팰리스,3.3,3.3,1,2008-12-19 00:00:00,0,1,0,1,1,0.7,1.212121212,서울 강서구 화곡동 930-1,2008-12-19 00:00:00,2008,1
2,밀리언하우스,3.55,3.52,0.991549296,2020-07-02 00:00:00,1,1,0,0,0,2.25,1.625352113,서울 중랑구 묵동 248-32,2020-07-02 00:00:00,2020,1
3,HB엘림캐슬,1.83,2.48,1.355191257,2019-03-11 00:00:00,0,1,0,0,1,2.48,2.710382514,인천 부평구 부평동 222-3,2019-03-11 00:00:00,2019,1
4,신영베르디움A동 (402호),2.55,2.55,1,2019-01-18 00:00:00,1,1,0,0,1,20.4,9,서울 강서구 화곡동 372-18,2019-01-18 00:00:00,2019,1
5,그린아트빌,1.07,0.85,0.794392523,2015-07-29 00:00:00,0,0,0,0,0,1.248,1.960747664,인천 미추홀구 주안동 233-7,2015-07-29 00:00:00,2015,1
6,주영팰리스,1.35,1.2,0.888888889,2014-04-08 00:00:00,0,1,1,1,0,1.32,1.866666667,인천 미추홀구 도화동 389-13,2014-04-08 00:00:00,2014,1
7,삼성맨션,1.87,0.7,0.374331551,2010-07-01 00:00:00,0,1,0,0,1,1.625,1.243315508,인천 미추홀구 주안동 1580-16,2010-07-01 00:00:00,2010,1
8,한아름 아파트,1.139,0.85,0.746268657,2015-10-28 00:00:00,0,1,0,0,0,0.12,0.851624232,인천 미추홀구 숭의동 121-46,2015-10-28 00:00:00,2015,1
9,청솔빌라(우이동),2.2,2.2,1,2020-06-04 00:00:00,1,1,0,0,0,9,5.090909091,서울특별시 강북구 우이동,2020-06-04 00:00:00,2020,1
10,한집시티빌,0.868,0.6,0.69124424,2016-08-01 00:00:00,0,0,0,0,1,0.6,1.382488479,부산 수영구 광안동 88-22,2016-08-01 00:00:00,2016,1
